Region,Date,Description
Germany,10/03/2017,Tag der Deutschen Einheit
Germany,10/31/2017,Reformationstag
Germany,12/25/2017,1. Weihnachtsfeiertag
Germany,12/26/2017,2. Weihnachtsfeiertag
Germany,01/01/2018,Neujahr
Germany,03/30/2018,Karfreitag
Germany,04/02/2018,Ostermontag
Germany,05/01/2018,Tag der Arbeit
Germany,05/10/2018,Christi Himmelfahrt
Germany,05/21/2018,Pfingstmontag
Germany,10/03/2018,Tag der Deutschen Einheit
Germany,10/31/2018,Reformationstag
Germany,12/25/2018,1. Weihnachtsfeiertag
Germany,12/26/2018,2. Weihnachtsfeiertag
Germany,01/01/2019,Neujahr
Germany,04/19/2019,Karfreitag
Germany,04/22/2019,Ostermontag
Germany,05/01/2019,Tag der Arbeit
Germany,05/30/2019,Christi Himmelfahrt
Germany,06/10/2019,Pfingstmontag
Germany,10/03/2019,Tag der Deutschen Einheit
Germany,10/31/2019,Reformationstag
Germany,12/25/2019,1. Weihnachtsfeiertag
Germany,12/26/2019,2. Weihnachtsfeiertag
Germany,01/01/2020,Neujahr
Germany,05/01/2020,Tag der Arbeit
Germany,10/03/2020,Tag der Deutschen Einheit
Germany,10/31/2020,Reformationstag
Germany,12/25/2020,1. Weihnachtsfeiertag
Germany,12/26/2020,2. Weihnachtsfeiertag
Germany,01/01/2021,Neujahr
Germany,05/01/2021,Tag der Arbeit
Germany,10/03/2021,Tag der Deutschen Einheit
Germany,10/31/2021,Reformationstag
Germany,12/25/2021,1. Weihnachtsfeiertag
Germany,12/26/2021,2. Weihnachtsfeiertag
Germany,01/01/2022,Neujahr
Germany,05/01/2022,Tag der Arbeit
Germany,10/03/2022,Tag der Deutschen Einheit
Germany,10/31/2022,Reformationstag
Germany,12/25/2022,1. Weihnachtsfeiertag
Germany,12/26/2022,2. Weihnachtsfeiertag
